Ref Des;Mid X (mm);Mid Y (mm);Rotation;Comment;Package;LCSC Part Number
BOOT_BUTTON,49.03,95.57,180.00,BUTTON_CUSYOMV1,MYBUTTON;;;;;;
C1,163.07,-4.07,90.00,100nF,EAGLE-LTSPICE_C0402;;;;;;
C10,59.52,95.04,90.00,100nF,EAGLE-LTSPICE_C0402;;;;;;
C10_SUPERCAP,97.13,41.16,90.00,CPH3225A,CAPCP3225X100N;;;;;;
C1_BAT,115.10,42.66,0.00,4.7uF,EAGLE-LTSPICE_C0402;;;;;;
C1_BAT1,115.80,30.98,0.00,4.7uF,EAGLE-LTSPICE_C0402;;;;;;
C1_BAT2,128.76,33.88,90.00,4.7uF,EAGLE-LTSPICE_C0402;;;;;;
C2,160.77,-4.06,90.00,100nF,EAGLE-LTSPICE_C0402;;;;;;
C2_BAT,126.01,45.66,270.00,4.7uF,EAGLE-LTSPICE_C0402;;;;;;
C3,125.09,32.54,90.00,100uF,RCL_CT3528;;;;;;
C4,98.98,23.58,90.00,4.7uF/25V,EAGLE-LTSPICE_C0402;;;;;;
C4_USB,154.52,36.68,180.00,100nF,EAGLE-LTSPICE_C0402;;;;;;
C5,20.52,94.85,90.00,1uF,EAGLE-LTSPICE_C0402;;;;;;
C5_USB,154.48,38.46,0.00,4.7uF,EAGLE-LTSPICE_C0402;;;;;;
C6,44.41,94.86,90.00,100nF,EAGLE-LTSPICE_C0402;;;;;;
C7,75.67,15.14,90.00,10uF,EAGLE-LTSPICE_C0402;;;;;;
C8,88.21,37.70,0.00,100nF,EAGLE-LTSPICE_C0402;;;;;;
C9,7.49,86.06,271.60,100nF,EAGLE-LTSPICE_C0402;;;;;;
CHANGE_BUTTON,64.04,95.57,180.00,BUTTON_CUSYOMV1,MYBUTTON;;;;;;
CHG_LED,112.15,44.75,90.00,,ADAFRUIT_CHIP-LED0603;;;;;;
C_DELAY,52.72,88.46,90.00,100nF,EAGLE-LTSPICE_C0402;;;;;;
D1,153.88,41.82,0.00,USBLC6-2SC6Y,SOT95P280X145-6N;;;;;;
D10,34.21,32.73,90.00,PGB1010603MR,DIOC1608X36N;;;;;;
D11,55.01,26.77,90.00,PGB1010603MR,DIOC1608X36N;;;;;;
D12,57.61,26.85,90.00,PGB1010603MR,DIOC1608X36N;;;;;;
D2,116.41,33.93,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0;;;;;;
D3,83.26,23.92,0.00,MBR0530,SOD3716X135N;;;;;;
D4,94.20,17.82,0.00,MBR0530,SOD3716X135N;;;;;;
D5,94.04,21.82,0.00,MBR0530,SOD3716X135N;;;;;;
D6,72.21,12.16,0.00,PGB1010603MR,DIOC1608X36N;;;;;;
D7,89.61,53.81,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0;;;;;;
D8,11.21,84.92,0.00,PGB1010603MR,DIOC1608X36N;;;;;;
D9,50.31,26.78,90.00,PGB1010603MR,DIOC1608X36N;;;;;;
EPD_C1,71.85,5.54,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;;;
EPD_C10,82.05,8.06,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;;;
EPD_C11,80.25,8.02,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;;;
EPD_C12,78.45,8.03,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;;;
EPD_C2,70.45,5.55,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;;;
EPD_C5,91.65,8.18,90.00,0.1uF/50V,EAGLE-LTSPICE_C0402;;;;;;
EPD_C6,89.65,8.19,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;;;
EPD_C7,87.75,8.20,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;;;
EPD_C8,85.85,8.17,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;;;
EPD_C9,83.95,8.11,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;;;
IC2,49.07,88.74,0.00,BD5229G-TR,SOT95P280X125-5N;;;;;;
IC4,120.01,33.74,0.00,XC6220A331MR-G,SOT95P280X120-5N;;;;;;
J1,85.04,2.31,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99;;;;;;
J2,166.50,43.26,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA;;;;;;
J3,167.32,8.08,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA;;;;;;
